LOG_NU,UFE_SG,LOC_NU,BAI_NU_INI,BAI_NU_FIM,LOG_NO,LOG_COMPLEMENTO,CEP,TLO_TX,LOG_STA_TLO,LOG_NO_ABREV
362447,RJ,7043,12215,NULL,H,NULL,23063050,Rua,S,"R H"
357658,RJ,7043,12215,NULL,"Roberto Ribeiro",NULL,23063053,Rua,S,"R Roberto Ribeiro"
349244,RJ,7043,12215,NULL,"Filomena Carlos Magno",NULL,23063055,Rua,S,"R Filomena C Magno"
352569,RJ,7043,12215,NULL,Lama,NULL,23063060,Caminho,S,"Cam Lama"
362146,RJ,7043,12215,NULL,Um,"(Maria Luiza)",23063080,Rua,S,"R Um"
347789,RJ,7043,12215,NULL,Dois,"(Maria Luiza)",23063090,Rua,S,"R Dois"
360316,RJ,7043,12215,NULL,Três,"(Maria Luiza)",23063100,Rua,S,"R Três"
359042,RJ,7043,12215,NULL,Seis,"(Maria Luiza)",23063110,Rua,S,"R Seis"
342442,RJ,7043,12215,NULL,A,NULL,23063120,Travessa,S,"Tv A"
346197,RJ,7043,12215,NULL,"Castelo Branco",NULL,23063130,Travessa,S,"Tv Castelo Branco"
362998,RJ,7043,12185,NULL,"Juscelino Kubitschek",NULL,23063140,Travessa,S,"Tv Juscelino Kubitschek"
353748,RJ,7043,12185,NULL,"Maria de Lourdes Paes Barreto",NULL,23063150,Rua,S,"R Maria de L P Barreto"
838921,RJ,7043,12185,NULL,Japin,"(Nova Cidade)",23063152,Rua,S,"R Japin"
838920,RJ,7043,12185,NULL,"Boa Sorte","(Nova Cidade)",23063154,Rua,S,"R Boa Sorte"
359578,RJ,7043,12215,NULL,"Soldado Gildo Pereira Líra",NULL,23063160,Rua,S,"R Sd Gildo P Líra"
345909,RJ,7043,12185,NULL,Caracaraí,NULL,23063170,Rua,S,"R Caracaraí"
359562,RJ,7043,12215,NULL,"Soldado Francisco de Azevedo",NULL,23063175,Rua,S,"R Sd Francisco de Azevedo"
359574,RJ,7043,12185,NULL,"Soldado Geraldo dos Santos",NULL,23063180,Rua,S,"R Sd Geraldo dos Santos"
359624,RJ,7043,12215,NULL,"Soldado Laércio de Mendonça",NULL,23063190,Rua,S,"R Sd Laércio de Mendonça"
696476,RJ,7043,12215,NULL,"Lavrador Dom Manoel",NULL,23063195,Rua,S,"R Lav D Manoel"
356904,RJ,7043,12215,NULL,"Professor Paulo Ribeiro",NULL,23063200,Rua,S,"R Prf Paulo Ribeiro"
359631,RJ,7043,12215,NULL,"Soldado Manuel Gomes",NULL,23063210,Rua,S,"R Sd Manuel Gomes"
855534,RJ,7043,12215,NULL,Um,"(B Oliveiras)",23063212,Rua,S,R
855532,RJ,7043,12215,NULL,Dois,"(B Oliveiras)",23063214,Rua,S,R
855533,RJ,7043,12215,NULL,Tres,"(B Oliveiras)",23063216,Rua,S,"R Tres"
855531,RJ,7043,12215,NULL,Cinco,"(B Oliveiras)",23063218,Rua,S,"R Cinco"
345380,RJ,7043,12215,NULL,"Cabo Luiz Quevedo",NULL,23063220,Rua,S,"R Cb Luiz Quevedo"
359654,RJ,7043,12215,NULL,"Soldado Sebastião Viana",NULL,23063230,Rua,S,"R Sd Sebastião Viana"
359665,RJ,7043,12215,NULL,"Soldado Venceslau Firmino",NULL,23063240,Rua,S,"R Sd Venceslau Firmino"
359658,RJ,7043,12215,NULL,"Soldado Toríbio da Silva",NULL,23063250,Rua,S,"R Sd Toríbio da Silva"
359604,RJ,7043,12215,NULL,"Soldado José Barbosa Filho",NULL,23063260,Rua,S,"R Sd José B Filho"
351742,RJ,7043,12185,NULL,"João de Medeiros",NULL,23063270,Rua,S,"R João de Medeiros"
359532,RJ,7043,12215,NULL,"Soldado Benedito dos Santos",NULL,23063280,Rua,S,"R Sd Benedito dos Santos"
344788,RJ,7043,12185,NULL,"Bela Cruz",NULL,23063290,Rua,S,"R Bela Cruz"
344148,RJ,7043,12215,NULL,Aruera,NULL,23063300,Rua,S,"R Aruera"
356593,RJ,7043,12215,NULL,"Porto Velho do Cunha",NULL,23063310,Rua,S,"R Porto Vo do Cunha"
343832,RJ,7043,12215,NULL,Apuiarés,NULL,23063320,Rua,S,"R Apuiarés"
356534,RJ,7043,12215,NULL,"Ponte de Pedra",NULL,23063330,Rua,S,"R Ponte de Pedra"
363387,RJ,7043,12215,NULL,"Gentil de Ouro",NULL,23063340,Rua,S,"R Gentil de Ouro"
855295,RJ,7043,12215,NULL,"Cassiano Francisco de Almeida","(Maria Luíza)",23063342,Rua,S,"R Cassiano F de Almeida"
855371,RJ,7043,12215,NULL,"Elisa de Oliveira","(Maria Luíza)",23063343,Rua,S,"R Elisa de Oliveira"
838557,RJ,7043,12215,NULL,"Arnaldo Rocha Salazar","(Maria Luíza)",23063344,Rua,S,"R Arnaldo R Salazar"
855370,RJ,7043,12215,NULL,"Ondina Marques de Andrade","(Maria Luíza)",23063345,Rua,S,"R Ondina M de Andrade"
855368,RJ,7043,12215,NULL,"José Valtenor Cruz","(Maria Luíza)",23063346,Rua,S,"R José V Cruz"
855369,RJ,7043,12215,NULL,"Manoel Machado de Oliveira","(Maria Luíza)",23063348,Rua,S,"R Manoel M de Oliveira"
343203,RJ,7043,12215,NULL,"Alto Santo",NULL,23063350,Rua,S,"R Alto Santo"
345771,RJ,7043,12215,NULL,Canhotinho,NULL,23063360,Rua,S,"R Canhotinho"
357487,RJ,7043,12215,NULL,"Riachão do Jacuípe",NULL,23063370,Rua,S,"R Riachão do Jacuípe"
350743,RJ,7043,12185,NULL,Horizontina,NULL,23063380,Rua,S,"R Horizontina"
361219,RJ,7043,12215,NULL,"Vitória Régia","(Nova Cidade)",23063390,Rua,S,"R Vitória Régia"
343669,RJ,7043,12215,NULL,"Antônio de La Paz",NULL,23063400,Rua,S,"R Antônio de L Paz"
355077,RJ,7043,12215,NULL,"Nova Cidade",NULL,23063410,Rua,S,"R Nova Cidade"
359741,RJ,7043,12215,NULL,"Souza de Freitas","(Nova Cidade)",23063420,Rua,S,"R Souza de Freitas"
350741,RJ,7043,12215,NULL,Horebe,"(Nova Cidade)",23063430,Rua,S,"R Horebe"
355098,RJ,7043,12215,NULL,"Nova Jerusalém",NULL,23063440,Rua,S,"R Nova Jerusalém"
355111,RJ,7043,12215,NULL,"Nova Sião",NULL,23063450,Rua,S,"R Nova Sião"
343430,RJ,7043,12215,NULL,"Ana Cristina Gouveia","(Nova Cidade)",23063460,Rua,S,"R Ana C Gouveia"
361761,RJ,7043,12215,NULL,"São Jorge","(Nova Cidade)",23063470,Rua,S,"R S Jorge"
356038,RJ,7043,12215,NULL,"Paz Celeste","(Nova Cidade)",23063480,Rua,S,"R Paz Celeste"
363392,RJ,7043,12215,NULL,Goiabal,"(Nova Cidade)",23063490,Rua,S,"R Goiabal"
357778,RJ,7043,12215,NULL,"da Rosa",NULL,23063500,Rua,S,"R da Rosa"
358960,RJ,7043,12215,NULL,"da Saudade",NULL,23063510,Rua,S,"R da Saudade"
345011,RJ,7043,12215,NULL,"Boa Fé",NULL,23063520,Rua,S,"R Boa Fé"
348763,RJ,7043,12215,NULL,"Espera Feliz","(Nova Cidade)",23063530,Rua,S,"R Espera Feliz"
345009,RJ,7043,12215,NULL,"Boa Esperança","(Nova Cidade)",23063540,Rua,S,"R Boa Esperança"
353176,RJ,7043,12215,NULL,"Machado de Assis","(Nova Cidade)",23063560,Rua,S,"R Machado de Assis"
354862,RJ,7043,12215,NULL,Nestor,NULL,23063570,Rua,S,"R Nestor"
353740,RJ,7043,12215,NULL,"Maria da Conceicão","(Nova Cidade)",23063580,Rua,S,"R Maria da Conceicão"
351681,RJ,7043,12215,NULL,"João Amazonas","(Nova Cidade)",23063590,Rua,S,"R João Amazonas"
362811,RJ,7043,12215,NULL,"Waldir Klly","(Nova Cidade)",23063600,Rua,S,"R Waldir Klly"
346782,RJ,7043,12215,NULL,"dos Comerciários",NULL,23063610,Rua,S,"R dos Comerciários"
342833,RJ,7043,12215,NULL,Albânia,"(Nova Cidade)",23063620,Rua,S,"R Albânia"
344781,RJ,7043,12215,NULL,Beira-Rio,"(Nova Cidade)",23063630,Rua,S,"R Beira-Rio"
358385,RJ,7043,12215,NULL,"São Carlos",NULL,23063640,Rua,S,"R S Carlos"
350167,RJ,7043,12215,NULL,"do Goiabal",NULL,23063650,Rua,S,"R do Goiabal"
350169,RJ,7043,12215,NULL,Goiabinha,"(Nova Cidade)",23063660,Rua,S,"R Goiabinha"
358602,RJ,7043,12215,NULL,"São José","(Cidade Nova)",23064000,Rua,S,"R S José"
838922,RJ,7043,12215,NULL,Brenda,NULL,23064002,Travessa,S,"Tv Brenda"
838925,RJ,7043,12215,NULL,"Príncipe de Paz","(Nova Cidade)",23064003,Travessa,S,"Tv Prce de Paz"
838923,RJ,7043,12215,NULL,"Rei dos Reis","(Nova Cidade)",23064004,Travessa,S,"Tv Rei dos Reis"
838924,RJ,7043,12215,NULL,"São Lucas","(Nova Cidade)",23064006,Travessa,S,"Tv S Lucas"
838914,RJ,7043,12215,NULL,"Rosa de Saron","(Nova Cidade)",23064008,Rua,S,"R Rosa de Saron"
358795,RJ,7043,12215,NULL,"São Sebastião","(Nova Cidade)",23064010,Rua,S,"R S Sebastião"
355456,RJ,7043,12215,NULL,"das Orquídeas",NULL,23064020,Rua,S,"R das Orquídeas"
353712,RJ,7043,12215,NULL,"das Margaridas",NULL,23064030,Rua,S,"R das Margaridas"
348754,RJ,7043,12215,NULL,"das Esmeraldas","(Nova Cidade)",23064040,Rua,S,"R das Esmeraldas"
355742,RJ,7043,12215,NULL,"das Palmeiras",NULL,23064050,Rua,S,"R das Palmeiras"
346007,RJ,7043,12215,NULL,"Carlos Daniele",NULL,23064060,Rua,S,"R Carlos Daniele"
355987,RJ,7043,12215,NULL,"Paulo Fontelis","(Nova Cidade)",23064070,Rua,S,"R Paulo Fontelis"
346444,RJ,7043,12215,NULL,"Chico Mendes",NULL,23064080,Rua,S,"R Chico Mendes"
354102,RJ,7043,12215,NULL,"Maurício Grabois",NULL,23064090,Rua,S,"R Maurício Grabois"
350533,RJ,7043,12215,NULL,"Haroldo de Freitas","(Nova Cidade)",23064100,Rua,S,"R Haroldo de Freitas"
347664,RJ,7043,12215,NULL,"dos Diamantes",NULL,23064120,Rua,S,"R dos Diamantes"
347210,RJ,7043,12215,NULL,"do Cristal",NULL,23064130,Rua,S,"R do Cristal"
355577,RJ,7043,12215,NULL,"do Ouro",NULL,23064140,Rua,S,"R do Ouro"
356651,RJ,7043,12215,NULL,"da Prata",NULL,23064150,Rua,S,"R da Prata"
352590,RJ,7043,12215,NULL,"dos Lapidadores","(Nova Cidade)",23064160,Rua,S,"R dos Lapidadores"
345073,RJ,7043,12215,NULL,"Bom Pastor","(Nova Cidade)",23064170,Rua,S,"R Bom Pastor"
351614,RJ,7043,12215,NULL,Jericó,"(Nova Cidade)",23064180,Rua,S,NULL
349749,RJ,7043,12215,NULL,"dos Garimpeiros",NULL,23064190,Rua,S,"R dos Garimpeiros"
855372,RJ,7043,12215,NULL,Graúna,"(Nova Cidade)",23064192,Rua,S,"R Graúna"
355848,RJ,7043,12215,NULL,Parnaiba,"(Nova Cidade)",23064200,Rua,S,"R Parnaiba"
345646,RJ,7043,12215,NULL,"Campo Mourão",NULL,23064210,Rua,S,"R Campo Mourão"
362090,RJ,7043,12215,NULL,Rouxinol,"(Nova Cidade)",23064220,Rua,S,"R Rouxinol"
346955,RJ,7043,12215,NULL,"dos Coqueiros",NULL,23064230,Rua,S,"R dos Coqueiros"
343485,RJ,7043,12215,NULL,"da Andorinha",NULL,23064240,Rua,S,"R da Andorinha"
349736,RJ,7043,12215,NULL,"da Garça",NULL,23064250,Rua,S,"R da Garça"
344841,RJ,7043,12215,NULL,Bem-te-vi,NULL,23064260,Rua,S,"R Bem-te-vi"
344371,RJ,7043,12215,NULL,Azulão,NULL,23064270,Rua,S,"R Azulão"
358644,RJ,7043,12215,NULL,"São Luiz","(Nova Cidade)",23064280,Rua,S,"R S Luiz"
346697,RJ,7043,12215,NULL,"dos Colaboradores",NULL,23064290,Rua,S,"R dos Colaboradores"
355118,RJ,7043,12215,NULL,"Nova Vida",NULL,23064300,Rua,S,"R Nova Vida"
356060,RJ,7043,12215,NULL,"da Paz",NULL,23064310,Rua,S,"R da Paz"
346876,RJ,7043,12215,NULL,"da Conquista",NULL,23064320,Rua,S,"R da Conquista"
348401,RJ,7043,12215,NULL,"El Shardi","(Nova Cidade)",23064330,Rua,S,"R El Shardi"
